aspek,skenario,model,accuracy,precision,recall,f1_score,keterangan
customer service,Skenario 1,SVM,94.29,94.50,92.14,93.20,Model dasar tanpa SMOTE dan tanpa PSO
customer service,Skenario 2,SVM + PSO,90.00,88.78,87.78,88.25,Optimasi hyperparameter C dan gamma menggunakan PSO
customer service,Skenario 3,SVM + SMOTE + PSO,94.29,94.50,92.14,93.20,Penyeimbangan data latih dengan SMOTE dan optimasi PSO
customer service,Skenario 4,Random Forest,92.86,95.28,88.64,91.11,Model dasar tanpa SMOTE dan tanpa PSO
customer service,Skenario 5,Random Forest + PSO,92.86,95.28,88.64,91.11,Optimasi n_estimators dan max_depth menggunakan PSO
customer service,Skenario 6,Random Forest + SMOTE + PSO,92.86,93.45,89.87,91.38,Penyeimbangan data latih dengan SMOTE dan optimasi PSO
fungsionalitas,Skenario 1,SVM,90.65,60.49,60.66,60.44,Model dasar tanpa SMOTE dan tanpa PSO
fungsionalitas,Skenario 2,SVM + PSO,92.52,69.79,65.04,65.64,Optimasi hyperparameter C dan gamma menggunakan PSO
fungsionalitas,Skenario 3,SVM + SMOTE + PSO,91.82,69.64,66.65,67.55,Penyeimbangan data latih dengan SMOTE dan optimasi PSO
fungsionalitas,Skenario 4,Random Forest,90.89,59.94,61.70,60.80,Model dasar tanpa SMOTE dan tanpa PSO
fungsionalitas,Skenario 5,Random Forest + PSO,90.89,60.16,61.57,60.84,Optimasi n_estimators dan max_depth menggunakan PSO
fungsionalitas,Skenario 6,Random Forest + SMOTE + PSO,90.65,79.53,69.21,72.46,Penyeimbangan data latih dengan SMOTE dan optimasi PSO
transaksi & pembayaran,Skenario 1,SVM,93.26,62.17,63.09,62.62,Model dasar tanpa SMOTE dan tanpa PSO
transaksi & pembayaran,Skenario 2,SVM + PSO,93.78,62.50,63.47,62.98,Optimasi hyperparameter C dan gamma menggunakan PSO
transaksi & pembayaran,Skenario 3,SVM + SMOTE + PSO,93.26,62.24,63.03,62.61,Penyeimbangan data latih dengan SMOTE dan optimasi PSO
transaksi & pembayaran,Skenario 4,Random Forest,92.23,61.44,62.42,61.92,Model dasar tanpa SMOTE dan tanpa PSO
transaksi & pembayaran,Skenario 5,Random Forest + PSO,91.71,61.11,62.05,61.58,Optimasi n_estimators dan max_depth menggunakan PSO
transaksi & pembayaran,Skenario 6,Random Forest + SMOTE + PSO,92.23,61.44,62.43,61.93,Penyeimbangan data latih dengan SMOTE dan optimasi PSO
