aspek,skenario,model,accuracy,precision,recall,f1_score,keterangan
customer service,Skenario 1,SVM,92.86,93.45,89.87,91.38,Model dasar tanpa SMOTE dan tanpa PSO
customer service,Skenario 2,SVM + PSO,95.71,94.59,95.64,95.09,Optimasi hyperparameter C dan gamma menggunakan PSO
customer service,Skenario 3,SVM + SMOTE + PSO,95.71,94.59,95.64,95.09,Penyeimbangan data latih dengan SMOTE dan optimasi PSO
customer service,Skenario 4,Random Forest,94.29,94.5,92.14,93.2,Model dasar tanpa SMOTE dan tanpa PSO
customer service,Skenario 5,Random Forest + PSO,95.71,97.06,93.18,94.83,Optimasi n_estimators dan max_depth menggunakan PSO
customer service,Skenario 6,Random Forest + SMOTE + PSO,92.86,92.18,91.1,91.61,Penyeimbangan data latih dengan SMOTE dan optimasi PSO
fungsionalitas,Skenario 1,SVM,93.9,62.74,63.96,63.32,Model dasar tanpa SMOTE dan tanpa PSO
fungsionalitas,Skenario 2,SVM + PSO,92.96,61.81,63.73,62.75,Optimasi hyperparameter C dan gamma menggunakan PSO
fungsionalitas,Skenario 3,SVM + SMOTE + PSO,92.02,72.25,71.66,71.94,Penyeimbangan data latih dengan SMOTE dan optimasi PSO
fungsionalitas,Skenario 4,Random Forest,93.9,62.3,64.46,63.36,Model dasar tanpa SMOTE dan tanpa PSO
fungsionalitas,Skenario 5,Random Forest + PSO,92.49,61.43,63.11,62.25,Optimasi n_estimators dan max_depth menggunakan PSO
fungsionalitas,Skenario 6,Random Forest + SMOTE + PSO,90.38,75.2,67.41,70.02,Penyeimbangan data latih dengan SMOTE dan optimasi PSO
transaksi & pembayaran,Skenario 1,SVM,96.94,64.61,65.59,65.1,Model dasar tanpa SMOTE dan tanpa PSO
transaksi & pembayaran,Skenario 2,SVM + PSO,96.94,64.61,65.59,65.1,Optimasi hyperparameter C dan gamma menggunakan PSO
transaksi & pembayaran,Skenario 3,SVM + SMOTE + PSO,96.43,64.3,65.27,64.78,Penyeimbangan data latih dengan SMOTE dan optimasi PSO
transaksi & pembayaran,Skenario 4,Random Forest,92.86,62,62.75,62.35,Model dasar tanpa SMOTE dan tanpa PSO
transaksi & pembayaran,Skenario 5,Random Forest + PSO,93.88,62.52,63.56,63.03,Optimasi n_estimators dan max_depth menggunakan PSO
transaksi & pembayaran,Skenario 6,Random Forest + SMOTE + PSO,94.39,62.85,64,63.39,Penyeimbangan data latih dengan SMOTE dan optimasi PSO
